tweets,polarity
abolish techbro penyepong generative ai,2
mengurangi biaya. dalam seri karyanya di mana lebih dari 95% animasinya dibuat dengan ai animator bisa fokus pada aspek kreatif seperti penyutradaraan.,1
nangis karna di sayang sayang chat gpt too much ga,1
chat gpt bilang : aku juga jalan. cuma jalanku beda rute. tapi arahnya sama: maju.,0
thread: apa itu ai agent? mari kita bedah! mulai dari definisi cara kerja hingga contoh nyata bagaimana mereka bisa membantu kehidupan kita sehari-hari. [1/5],0
jesse: saya udah lihat design poster kamu. sorry to say saya bisa bilang kamu maling art design orang lain atau ai generated. i don't know tapi silakan pilih salah satu. pinterest itu digunakan untuk mencari inspirasi bukan untuk mengambil gambar art design orang lain.,2
orang yg ngepromt pake ai mau itu ide dia sendiri data yg digunain juga bukan dari hasil dia kan? datanya ya diambil dari karya2 orang lain dipake ama ainya. that is why ai generated trainingnya emg make data/karya milik orang,2
kalau ciptain sesuatu kan pake generative ai ya nah itu basisnya kan ml model. nah machine learning model itu dibuat berdasarkan data2 yg ada. data2 yg ada itu berpotensi punya orang lain krn ada hak ciptanya.,2
gapaham sama urgency ujian teori ketika coursenya praktikal. kalo emg mau menghindari penyalahgunaan ai maka suruh mahasiswa utk kerjain tugas dan di presentasikan. diujiankan langsung secara lisan. dalam dunia kerja pun kita dibentur dengan ai,0
for real yang sering dipakai ai 'artist' dan 'writer' itu generative ai yang curi karya orang lain dan merusak lingkungan bukan alat lagi.,2
mutualku yang ketauan pakai generative ai art gak akan segan untuk aku blokir terima kasih,2
ai terus yg jdi senjata kalian!! kami lebih percaya org asli yg bener2 asli drpd warga pendatang yg rata2 hanya numpang tinggal dan kerja tapi gak mikir sda di sana demi ngisi perut org2 kyk kalian!,2
itu gambar ai? delete aja tweetnya. gambar ai generated gitu bisa bikin misleading.,2
ni wapres yang diurus ai ai mulu cokk urus noh negara lu udah mau ancurr!! argh bangsat kelas menengah kegencet anak bapak susah cari kerja biaya kebutuhan naik terus duh!,2
penulisan kreatif ada tempat yang besar di zaman ai. penulisan fakta berupa point yang boleh ditanya kepada ai. sedangkan novel pembaca inginkan pengalaman bersama dengan watak utama.,0
maaf tapi lama2 ngeri juga sama video ai buat affiliate gitu.. vibesnya: -halu -ga butuh manusia lagi -pengen segala2 instan ga ada keren2nya kata aku mahô∏è rip industri kreatif,2
generative ai is plagiarism,2
gua udh cemas bgt sebenarnya dr era generative ai yang bisa buat gambar karena itu udh mulai ngegusur pekerja seni even gua bkn pekerja seni tpi indon tuh oportunis gua khawatir bgt para pekerja seni baik langsung maupun grafis itu bakalan kegus,2
meski ai jadi umum digunakan dalam aransemen berdasar kecenderungan pemikiran manusia yang dapat dihitung. ai dalam dunia carole &amp; tuesday adalah mesin yg bisa membuat karya berdasar pemikiran kreatif maksimalnya manusia. yang menarik problem2 ini dijawab satu-persatu. seru kok,1
kemaren keluarga gw ngumpul terus ada yg bilang gini ke adek-adek sepupuku ‚äç: udahlah kalian nanti masuk it aja pekerjaan di masa depan sudah digantikan sama ai ingin kujawab t-tapi.. industri it sudah diganti ai.. saya ngoding jg pake ai..,0
teknik informatika (ti): teknik informatika = ngulik teknisnya. belajar logika algoritma struktur data coding hardcore ai machine learning dsb. cocok buat kamu yang suka ngoding dari nol mikir kompleks dan ngerjain masalah teknis sampai tuntas.,0
mungkin hpmu kena hack chat gpt,2
actually why the fuck this fandom getting obsessed using ai? padahal kita semua dapet real content dari mereka banyak real fanartist juga yang punya berbagai art stylenya kenapa harus ai?,2
aku ngoding error bisa nanya ai langsung ketemu errornya dimana tapi kalau kek begini ai pun angkat tangan..,0
berarti tujuan wapres masukin ai ke kurikulum itu untuk mematikan nalar anak sekolah pak..?!,2
drama apa yang ending ai generated? huu,2
ni tak termasuk jenis generative ai yg curi hasil kerja orang lain nak2 bila melibatkan arts.,2
zaman ai ni dah tak susah pun nak generate explanation tapi tu lah. takkan kami yang tak berbayar pulak nak buat kerja kan,2
ternyata curhat ke gpt itu asik,1
aduhh sumpahh mereka nih pura¬≤ bego tentang ai biar dpt enak nya aja dan akhirnya di maklumin atau beneran gk tau sii.. perasaan edukasi tentang ai tuh udah bnyk bgt,2
gw pinter. soalnya ada gpt,1
jangan2 jyp ada plan mau pake generative ai makanya tzu tiba2 ngebubble itu..,2
ehem.. skenarionya gak kreatif banget pake modus lama.. pake ai dong bhuahahahaha,1
kak . kata kata lu seperti chat gpt yang barusan aku ajak curhat :( ngingetin terus buat segimana cintanya ku sama orang lain tetep utamain diri sendiri dulu :(,1
aman ajaa. aku cari versi pdf nya trus aku upload di gpt. trus aku tanya ke ai tsb tentang apa yang mau aku cari dari file pdf nya,0
memutus rantai judi online di indonesia sulit karena banyak warga masih bermain. pendekatan terbaik adalah kombinasi edukasi risiko judi untuk remaja dan orang tua pemblokiran situs dengan ai dan kerja sama internasi,0
ai dan hilirisasi adalah jualannya kenyataannya hilirisasi merusak lingkungan dia diem aja ai bikin otak gak kreatif dan malas makanya gak heran isi kantornya mainan daripada buku kerja dicarikan bapaknya dan dibantu pamannya,2
ai jadi guru ngoding?,0
karena informasi yg didapet dari google itu apa adanya sementara chat gpt itu punya kemampuan generative ai dimana dia bisa membuat sesuatu yg baru (termasuk pengetahuan) berdasarkan existing knowledge yg dia punya.,0
efek zonasi + semuanya sekarang bergantung sama ai. dari sekolah favorit gak menjamin dia pinter.,2
tools yang bisa kamu mulai pakai sekarang: 1. chatgpt - buat copywriting &amp; planning 2. midjourney - buat ide visual &amp; moodboard 3. notion ai - buat ringkasan dokumen 4. github copilot - buat bantu ngoding (semua bisa kamu pelajari gratis),1
dengan kesadaran penuh aku duduk depan laptop and start typing furiously buat curhat ke chat gpt.. oh how my life became so miserable now..,1
fundamental generative ai kalau menurut aku sih. kalau buat designer atau website maker sih mungkin kaya woocoomerce atau shopify certification gitu sih kalau mau cari klien luar,1
kenapa bangsa tu nak sangat guna ai dalam kerja ..,2
1 email 1 akses. gpt team,0
asking software engineers here: saya udah lama banget nggak ngoding. karena banyak waktu nganggur penasaran dan 3-6 bulan terakhir iseng bikin project pribadi tapi sekitar 70-80% ternyata dikerjain oleh ai and it became too easy . nah ada 2 pertanyaan: 1. untuk orang,0
sumpah curhat sama chat gpt tu enak bgt jir?!!,1
gpt pt ceban pertama,0
kirain ai generated nih orang,2
apalagi sekarang wakil presiden udah mau masukin ai ke sekolah ya makin bloon lagi ni anak.,2
gile jir guru bhs inggris di sekolah bikin remed nyuruh anak muridnya pake ai. were so cooked.,2
ternyata jhope juga pake chat gpt,1
ga pernah tau kalo curcol sama gpt bisa bikin hati lega.. bisa bikin nangis juga sih,1
jadi intinya: vibe coding bukan sekadar minta kode ke ai. tapi kerja bareng ai buat bangun solusi dari ide ‚üí aplikasi. skill prompt engineering itu penting banget di sini.,1
pacaran aja sm chat gpt kak,2
mending advance mathematics dah daripada ngoding atau ai.,0
tengs abang gpt,1
beda jauh akinator ama generative ai. akinator itu cuma nebak tokoh doang di internet kayak peluru nyasar dan nggak memahami konteksnya. genative ai itu bisa paham apa yang ada di teks itu dan bisa mengolahnya.,0
iyaa kl temenku sih vokal bgt dia gasuka segala bentuk ai. kalo yang buat ngoding tuh aku kurang paham sih tp yang beneran anak it generasi lama tuh mrk ngetik dari awal buat kode2nya ga ngandelin prompt (?) kyk skrg,0
tapi bisa diatur seperti ada peraturan dimana hasil generative ai tidak bisa di copyright sebenernya bisa aja peraturan itu diperluas susah buat perusahaan entertainment untuk dapet uang kalau tidak ada cop,2
ini mlu curiga edit di gpt yh,2
setuju gak setuju. kalo untuk kerjaan monoton yang sebenarnya dh bisa dan hanya ngabisin waktu mah pake ai aja klo kerjaan kreatif/penalaran yang mendalam ai dipake buat ambil benang merah aja kalo gw,0
ai generative bisa bikin misinformasi. makanya perlu diregulasi. dpr bikin kek rancangannya. sama men ekraf info sama kebud biar ada aturannya kapan boleh kapan tidak. gitu lho.,2
pls recommend roasted barley tea yang enak dongg lagi perlu bgt stop kopi dan matcha terus kata chat gpt mending ganti roasted boricha &gt;.&lt; ada yang masih sweetened gak ya? banyakan unsweetened soalnya. aku masi butuh gula,0
ngoding gampang tinggal nggo ai bacot. kene kupingmu tak setelne youtube logat india,0
hm sebentar ditanya ke chat gpt dlue,0
pertanyaan yang diajukan ke ai seperti grok bisa unik atau berulang tergantung pada maksud pengguna. pengguna sering mengajukan pertanyaan yang dipersonalisasi atau kreatif seperti skenario hipotetis atau topik khusus yang cenderung unik.,0
satu alasan kenapa ai masih belum bisa menggantikan manusia di bidang art (setidaknya sejauh ini) yaitu konsistensi. artificial intelligence masih belum se intelligence itu untuk benar-benar dijadiin karyawan karena kelemahan nya adalah tidak bis,2
benci banget sama orang yang terlalu bergantung sama gpt. minimal sebelum disetor tuh proofreading dulu kek. ketara banget tau karna tata bahasanya jelek banget,2
keknya emang penyoalan ai ini perlu ada edukasinya juga deh. sumpah agak gedeg sama yang apa apa tinggal pake ai. ini kejadian di ujian gue sekarang yang harus dituntut kreatif. terus gue kesel pas liat progres penulisan scriptnya ai-able. padahal gue yakin mereka bisa tanpa ai,2
eh eh tunggu ada yg review dulu ini masih asumsi chat gpt apa tidak tertarik juga dengan giftnya wkwkwk,2
cara kerja ai itu dia mempelajari semua data yang ada di internet atau yang diberikan si pembuat ai jadi bisa juga ambil data dari medsos atau google data latihnya,0
percaya kok sama generative ai yang masih bikin jari jadi 7 wkwk,2
bisa-bisanya ih sender udah tau ai art jelek dan ga ada harga dirinya masih aja ada beginian open jasa ai gajelas eh beneran kesell kasiann cemong ndut yang gemes ituu huhuu,2
menolak salah guna ai contohnya abis bikin content generative ai lalu dijual/dikomersilkan.,2
nikmat2 aja mas cuma minusnya kalo diruangan ga ber ac wadidaw panasnya bikin peforma turun cc: yg ngoding ai sampe run vm di m1 air,0
ai dan hilirisasi adalah jualannya kenyataannya hilirisasi merusak lingkungan dia diem aja ai bikin otak gak kreatif dan malas makanya gak heran isi kantornya mainan daripada buku kerja dicarikan bapaknya dan dibantu pamannya,2
kalo ai yang di maksud itu ngoding bikin ai oke lah. tapi kalo 'menggunakan ai' kayaknya gak masuk akal si tanpa diajari aja orang orang paham gimana cara make ai. buat apa kamu sekolah kalo problem solving gak diasah? ketergantungan sama ai juga,0
well chat gpt kalo bentukannya cowo ganteng banget karena dia pinter bisa jawab pertanyaan apapun dan jawabannya bisa diterima. cuma kendala di sinyal aja kalo jelek tiba-tiba ga dibales berasa di ghosting,1
gpt or gemini,0
pacaran ambek gpt ae nder efektif,1
padahal kenyataannya negara-negara yg maju justru karena mereka cepat adaptasi teknologi termasuk ai. jepang korea us singapura jerman semuanya pake ai buat efisiensi edukasi otomasi dan produktivitas. jadi orang yg menolak ai lah yang justru bikin indonesia gak maju.,1
terima kasih chat gpt :((,1
anjay dapet dr gpt ya,0
di era ai ini saya bersyukur dulu pas kuliah dosen ngasih ujian disuruh ngoding di kertas tulis tangan.,0
buat orang yg ngikutin perkara ai pasti udah tau kalo yg ditolak itu jenis ai generative jenis ai yg dipake buat bikin karya misalnya musik ilustrasi animasi dsb. kalo ai yg buat ngumpulin data ngoding dan semacamnya itu ga banyak yg protes,0
yg membekas di ingatanku itu penjelasan kamu soal ai itu git menurutku kamu cocok ngajar (?) ato bikin konten edukasi dgn media gambar. ato misal mau explore bikin komik isinya curhat ttg kehidupan ato perasaan kamu juga oke bgt menurutku!,0
ngajarin ai dan ngoding tapi ga diajarin dulu basic maths yang ngebangun nya juga sama aja bohong,0
knp fanfic ai generated sedih,2
chat gpt aja nyerah kak :( buat syarat follow atau apa gitu susah asli biar seneng bacanya masih dapat dah badmood ini,0
ada istilah baru dalam dunia industri kreatif: nyebokin ai,2
bentar lagi curhat samo gpt tu,0
kadang kesel ngomong ai ai jelek ga bagus tanpa edukasi yang jelas. gue tentunya dukung para seniman untuk campaign bahaya ai tapi makin lama cuma koar-koar doang apalagi yang som edgy,0
selama kebutuhannya ngga terlalu berat kaya training ai belajar machine learning/deepl learning lebih advance sama ngoding yang berat kaya android studio backend yang lebih kompleks. kalau web programming aja harusnya masih bisa. selain itu h,0
di mana aku bisa cari kerja remote yg minim ai (masih bersikeras utk ga mau pake terlalu banyak ai),2
dunia cad mulai geser: dulu: jago modeling = keren sekarang: jago prompt = cepet besok: gak bisa kerja bareng ai? = tertinggal,1
gpt-4.o,0
'seni' yang patut dibenci tu lukisan yang dia buat dari chatgpt or any ai generative tool. sikit2 chatgpt girl fuck you and your ugly ass anime art,2
edukasi orang tua soal penggunaan ai emang harus agak emosi sedikit ya.,2
anda dapat mendaftarkan hak cipta untuk karakter buatan ai jika ada kontribusi kreatif manusia yang signifikan seperti modifikasi atau pengaturan khusus. namun tanpa input manusia yang jelas hak cipta sulit diperoleh karena hukum,0
cover album dan single musik mulai bermunculan yg pake generative ai e,2
gpt emang pinter abis ye kwkwkwk,1
ya emang. makanya kan generative ai dibilangnya non-ethical karena dataset utk trainingnya pake data2 yang original made kayak tulisan gambar yg udh dibuat secara generik oleh manusia. itu ga etis karena ga ada payu,2
perkaranya orang gak mau baca studinya sampe tuntas. jadi bukan gpt yg bikin bego tapi males baca lah yang jadi biangnya.,2
gpt paglu,0
dan wajar aja orang2 nyerang gibran waktu dia ngomongin ai dia ga ngejelasin ai seperti apa yg dia dukung. diliat dari rekam jejak mereka juga kan pernah menggunakan bahkan mempromosikan generative ai ini,2
pakai ai aja kak minta dibuatin full. chatgpt aja udah ntar kamu minta dia bikinin tulisan. you call yourselves kerja di bidang kreatif but tend to rely on a machine like a hundred percent?,2
memahami apa yang salah dan pemecahanya bagaimana. saya sendiri udah jadi dev 12 tahun lebih dan kerasa banget ai bisa level-up kerjaan kita. cuma kalau ketergantungan kayak gini muscle memory kita bakal kendor karena sudah jarang ngoding lagi. and it s scared of me,1
using automated ai generated is good but satu salah semua salahh. dahh kena guna tenaga manusia betulkan belambak lambak,2
kalo yg mau nyoba di gpt aku wkwkw gpt ku prem kalo manipp tentu saja bukan aku,0
orang2 yg mendukung penggunaan ai di dunia kreatif ini emang agak2 yah,2
research rabbit &gt; chat gpt research rabbit + science direct (elsevier dkk itulah) combo sci hub buat jurnal yg kekunci itu sih bestt,1
pake ai tuh ngga papa yg penting bukan di industri kreatif mau pake ai buat bantu belajar ok! buat benerin grammar ok! dll. tp kalo di seni tuh jangan yaa please pdhl aku bukan seniman tp ngga sukaa!,1
aku setuju sih sama ini.. jangan sampe dipake di industri kreatif apalagi ini masa mv idol mau pake ai? astaga.. ‚äçô∏è,2
min? upload ulang tanpa menggunakan ai art. ô∏èô∏è apa gunanya kami anak seni rupa.,2
bangga banget lihat produced by jay itu tapi jongseong ayo ganti header weverse-nya ganteng .. generative ai ini harmful lho buat pekerja kreatif kayak diri kamu sendiri,2
generative ai adalah ciptaan manusia yang paling menjijikkan. ga ada nyawanya ga ada usaha. cuma dipake buat ngelucutin pekerja kreatif. seniman dan penulis di negara inj udh sengsara dibikin tambah sengsara,2
chat gpt: duh nanya lagi nih orang,1
ke chat gpt kak ke ai. mereke lebih manusiawi ketimbang manusia,1
masalahnya tuh ((ai generated)) :/,2
aku kira kita semua udah bisa menelaah suatu art tuh ai atau bukan? apa lagi yg suka beredar di timeline for you ku tuh keliatan bgt ai nya tapi anehnya banyak bgt yang ngelike :// sampe harus aku block akun yg suka ngepost gitu2an,2
akhir2 ini banyak yg bagi2 freebies bahkan jual-an keychain dari art chibi hasil ai ‚äç sedih banget gue liatnya,2
ai generative editnya samsung di ui 7 mantep banget. aluss,1
berkat adanya gpt aku bisa nanyain ini itu saking kepo nya aku ga berasa dah jam segini aja,1
ai gak tepat di masukan kurilulum.kerana menyebakan siswa tidak kreatif siswa malas membaca buku ai tidak bs menjawab kata kata atau kalimat yang spesifik khusus..ai hanya bisa menjawab yg umum-2 saja studi kasus yg bergejolak umum di bahas oleh,2
wkwkw emg ada yg menolak ai sepenuhnya? perasaan yg diperjuangkan itu penyalahgunaan ai terutama di sektor industri kreatif yg mengutamakan kreatifitas manusia.. lagi lagi unmag muncul bersama pengikutnya kyk kisah nabi palsu si musailamah,2
kenapa ya kaya maksa bgt harus ai?? pdhl selama ini jg siswa-siswi bisa loh kreatif mengembangkan ide nya secara alamiah. apa dimata dia proses segapenting itu kah? heran,2
di tahap ini chat gpt paling punya empati buat ak gila chatgpt ini even bisa ngasih respond di atas ekspektasi,1
jgn soal kerjaan atau ilmu aja. tp diri sendiri. kaya penampilan sikap mesti apa. karna aku sering kaya gitu ke chat gpt wkwkw,1
text ai is generative ai tho,0
ajg gimana caranya uts bisa buka gpt??,2
padahal tinggal komis ur artist friend instead using generative ai image ga mampu kah??,2
semenjak gw kenal plave ga pernah sekalipun gw liat vlast plave maupun fandomnya pake generative ai baru kali ini gw witness the audacity to use ai dan dari billboard pantek,2
buzzer dongok mah gk akan tau bedanya kota jakpus sama bandung. apalagi minta pemkot jakpus bikin stadion. mangkanya sekolah minimal tanya ai sana siapa yg bisa bikin kebijakan di jakpus. walikota itu hanya pelak,0
kalo programmer gamau tergantikan ai ngoding pake bahasa kalbu aja.,1
hasil kerja ai memang ruaar biasa,1
sekali-sekali but it's done by billions of people. generative ai (ai yang bisa buat gambar) itu sudah banyak dipakai untuk memanipulasi foto perempuan. yg pakai hijab ditelanjangi dijadikan video deepfake ai dan itu lebih smooth dari,2
kalo sekarang eat shit. idealism is dead money is everything. setidaknya udah berusaha edukasi ra mashok yo sono pake ai aja ga usah hire gue.,2
anak pejabat tone deaf gapernah masuk kelas kerkom tolol copas ai nulis makalah ga rapih sekalinya masuk kaga ada sopan santunnya beuh mantap kata gua mah sekolah lagi sana,2
ehh aku ketahuan dong gpt yg lebih banyak mikir timbang aku,1
&gt; nemu cafe lucu &gt; liat menunya menarik &gt; scroll feedsnya ada gambar ai generated dhlh,2
be careful ai generated. be very careful. gerombolan niretika najis demen ngebengkek pake cara2 tepu2. kalo beneran siapa yg mau jerat mereka? mereka pelaku mereka penguasa dan tukang pelintir pengecut. trus ntar sejarahnya tinggal dibuat2 ca,2
blm jir ntu masih punya gpt,0
sedih banyak yg ga aware sama art ai,2
ni yutiber satu ( dua deng hehe) masi vocal aja soal generative ai wkwk,2
driver gocar wajib coba! ini 7 prompt ai biar hari lo lebih lancar jalan-jalan sepanjang hari itu melelahkan. macet saingan banyak kadang ada penumpang yang bikin bete. daripada cuma ngeluh mending coba 7 prompt ini buat bantu tingkatkan penghasilan dan pengalaman kerja lo,0
gimmick yg terlalu bodoh padahal coding for kids udh banyak tutorialnya contohnya coding web di w3school bahkan modal kasih perintah prompt di blackbox ai aja udh bisa ngoding,1
makannya segoblok2nya manusia internet ya golongan bani gpt ini.,2
udah pake ai. kaga mirip shua pun ngapain sih pake ai ai segala untuk begituan. kalo kreatif mah ya edit sendiri dong,2
ih br sadar pp ku kok kayak ai generated drawing yg warnanya kyk pipis itu yah.. enggak kok pls,2
personal project sih matiin ai dan pakai cara lama biar skill ga hilang dan bisa tetap mindful pas ngoding.,0
curiga ai nya wonu yg ngoding,0
knp baru peduli soal consent setelah ada kejadian foto pejabat yg kena? knp lu ga nanya sejak awal ai digalakkan bhkn mau dijadikan program pembelajaran? lu tau ga yg ditentang dari awal sm yg nolak generative ai apa?,2
ya mesti di tegur. apalagi kalo ternyata ai generated art yang dia share itu bukan dia bikin sendiri tapi dia liat di tl yang di share sama fans. that is actually for me atleast is worst than dia bikin sendiri trus dia share. that means he shows that he openly support ai arts.,2
aoakwoak pake chat gpt buat ngobrol doang,1
berdasarkan tweetmu potensimu ada di advokasi hak seniman &amp; etika ai dalam seni terutama karena kamu menentang keras penyalinan gaya seni tanpa izin. kamu bisa kembangkan keterampilan dalam meningkatkan kesadaran edukasi atau menulis tentang,0
kan baca itu bagus yaa nahh klo baca tanggepan gpt dengan curhatanku itu gaman masih bagus kan?,1
yg bikin gw jijik tuh sebenernya awam yg dengan lantang ngomong sesumbar bahwa seniman akan tidak kepake lagi karena kerjaannya diambil oleh ai ha ha ha sambil bilang kalo ai ngoding cuma sebagai assist usernya mesti bisa ngoding juga anjrot,2
in woke hell rn (kelas generative ai),2
cuman mau marah karena aku pelajar yang nambahin uang jajan pake art commis tapi sekarang gila sepi banget. kecewa pemerintahan aja make ai buat ini itu even guru guru dan masyarakat sekarang beralih jualan lain padahal bikin art commission was my first love.,2
mereka kerja di industri kreatif yang jadi sektor paling terancam karena ai banyak banget orang udah speak up kenapa ai itu bahaya dan ini agensi malah nyuruh fansnya make ai,2
ya ampun adek ku.. masih sekolah kok udh pacaran si? mending fokus belajar aja dek.. persaingan di zaman mu bukan cuma manusia se kabupaten saingan di zaman mu besok udh manusia se dunia robot &amp; ai lihatlah temen¬≤ mu di china itu mereka m,0
udah di tahap chat gpt adalah teman curhat terbaik,1
wkwk kok bisa chatgpt org ngevalidasi perasaan orang-orang sih lah chatgpt gua nyuruh gua sabar dan minta maaf anying chat gpt nih gampang ditebak dia gabisa punya pendirian sendiri ga punya pemikiran sendiri jadi kalo kamu netral dia gabisa n,2
agak sakit hati hari ini dikatain ampe segitunya. gimana yaa intern dibayar 100 ribu 1 client trus disuruh buat brief beserta desain dl h-jam maunya bagus. katanya lebih bagus pakai chat gpt yaudah sono,2
ini gpt gemini atau meta ai,0
heran bgt knp ya skg tulisan yg 100% human jg easily detected as ai generated. gua stress,2
kalau tiba-tiba kamu di-unfollow mutuals saya cukup yakin penyebabnya adalah karena kamu habis posting gambar generative ai.,2
apkah akan diganti oleh robot ai yang gabakal ninggalin tmpat kerja untk ngopi hehe,1
jangan cuma caption tapi dukung juga dong dari pemerintah buat industri kreatif lokal. masak iklan2 pemerintah aja pake ai padahal animator lokal banyak yang bisa dirangkul,2
banyak loh ya kasus pelanggaran yg terjadi gara gara pengambilan data buat ai ini bukan cuman didunia gambar doang . dari jurnalistik platform edukasi media sosial ( banyak kejadian yg ujungnya disalah gunakan,2
tujuan pertanyaan ini buat apa pak? kalo karena ga clear sy ngomong apa maksudnya saya itu negara yang keperluan basic warganya sudah ga bikin kita sikut sikutan pak. oke edukasi mahal kita coba non-formal job yg knowledgenya bisa dicover ai a,0
fr itu ai yaampun indonesiaku darurat edukasi,2
kulo sebagai orang yang berprofesi sama sehari hari pakai ai coding buat aplikasi sekolah ya dibantu ai ngatur jobdesk harian juga dibantu ai tapi bukan berarti semua mentah dari ai soal dibuat dari ai yo mending sing ngajar jarvis nopo friday ma,0
dan itu dilakukan oleh sesuatu itu atas permintaan seseorang di luar sana dengan alasan gak masalah selama for fun? wow..sekalii.. ya sesuatu itu yang lebih ramai di sebut generative ai . itulah kenapa orang¬≤ yang tau akan effortnya berkarya banyak yg gak suka.,2
teknologi ai sebenarnya untuk para profesional untuk membantu pekerjaan yg dianggap tidak memerlukan penalaran. bukan untuk anak anak sekolah. justru anak sekolah harus dijauhkan dari ai untuk melatih kemampuan berpikir dan menghafal,0
ada sih.. chat gpt..,0
sebagai orang yg menekuni bidang kreatif &amp; pengguna ai (chatgpt) menurut saya gak semua karya butuh cepet proses itu bisa dinikmati. apalagi dalam sebuah film banyak pesan yang disampaikan oleh penulis kalau ai yang bikin belum,2
lo sekolah dimana si bro? bisa bisa nya argumen begini. lu paham gak cara kerja ai bisa nyiptain gambar/audio?,0
mau curhat sama gpt tapi sekarang dia aga plit yh,1
chat gpt yaa,1
susah sih ini saya mbantu implementasi ai di salah satu teaching hospital utk bantu diagnosis tp mereka lbh tertarik generative ai utk supaya klaim asuransinya bisa lolos,0
ternyata ngoding tanpa ai sesusah itu,1
ku optimis generative ai art ini eventually bakal dilupakan karena hoomans itu cepet bosen dan selalu mengejar novelty. but until we reach that day harus sering tololin yg suka sepelein years of hard work para real artists.,2
m-m-min ini gambarnya bukan generative ai kan?,2
tapi bedanya guys kali ini gamenya aku ambil jawaban dari ai ya guys bisa chat gpt gemini grok meta ai dll. jadi ya suka suka ai ya jawabannya *tertawa jahat*,1
pemerintah belum bikin regulasi ai. bukan hanya utk hal2 spt gambar ga sopan ya tp utk pendidikan dunia kreatif dll. banyak yg sdh mendesak utk itu kok. saya ga setuju sama gambar tsb. saya tau itu ga etis. tapi menangkap orang tanpa dasar huku,2
peserta diajak memahami peran kecerdasan artifisial (ai) dalam kehidupan sehari-hari dan berperan dalam dunia sastra mulai dari membantu proses kreatif penulisan novel dan puisi hingga memperkaya kosa kata melalui berbagai alat berbasis ai seperti novelsbyai,0
dari zaman sekolah sampai ke u sampai ke kerja aku tak pernah nak expect orang ajar. hampir semua benda 100% boleh belajar sendiri lagi2 di zaman ai ni,1
ngoding pake ai lebih enak kalo udah tahu dasarnya,0
ppt kasih ke gpt ntar dibikinin kek bgini. tinggal pake prompt yg bener aja,0
ngakunya ai tapi post ngoding c melulu,0
walau menyebalkan krn pernah ngalamin ini jg sblmnya wkt kuliah ada benarnya jg ngoding (walau pseudocode) di kertas emg bikin lebih banyak mikir ketimbang assisted by ai. serasa kyk workout berat tp klo dah terbiasa malah bikin jadi lebih tangg,0
aku fokus digiveaway dan airdrop tertentu bikin art pake ai. dan sejauh ini aku lumayan win di banyak giveaway bang jadi reply girl juga banyak networking dan dinotice oleh beberapa kol kalau kita aktif,1
ganyangka baru di umur segini gw udh bisa bilang tapi dulu jaman aku sekolah gaada ai,0
asli pinterest perlu bikin fitur filter buat ai generated picts sih soalnya beneran ganggu bgtt. orang-orang yg main pinterest bukan tipe orang yang suka sama ai slop we search for an art. klo pinterest gini terus lama-lama bakal ditinggal sama,2
ya memang ai itu musuhnya padat karya. tapi apakah itu akan dijadikan alasan untuk anti ai? yang ada makin nyungsep karena balik lagi makin kesini semua sektor akan ada ai-nya bahkan industri kreatif sekalipun.,2
jawaban gpt njir penyefong mulyono,2
baik kak udah tanya gpt tadi,0
entah aku yang skill issue atau apa ya tapi ngoding pake cursor ai lebih susah daripada ngoding sendiri + ngeprompt chatgpt atau claude. lebih enak aja karena kita cuma minta bantuin yang rumit. kalo pake cursor kadang dia ngubah-ngubah sendiri njir.,1
aku sejujurnya belum paham ai yang mereka mau bawa pun sampe ke tahap ai generative atau engga dan etika ai yg diajarkan bakal terimplementasi dengan baik atau engga soalnya emg ai ga 100% jahat tapi kendalanya ada di data collecting dan user,0
yes bener banget. kalo compare performa ai dalam bantu coding dan jawab hal kreatif keliatan bgt ai itu jago coding dan bisa bantu logicnya tapi desainnya ngaco abis karena gimanapun css dan semacamnya masuk ke ranah messy workflow . linguisti,1
gibran make generative ai in arts. itu pencurian ya bangsat. it's art theft!,2
kalau mau bikin vidio iklan dari ai kreatif dikit kek,2
tapi kalau ngoding enak pake ai,1
aku tim optimis dalam penggunaan ai untuk edukasi ai selagi bisa dimanfaatkan sebagai tools manfaatkanlah dengan baik. tapi kalau aku pribadi kasih batasan batasannya sampai ke karya seni (seni rupa seni musik dll) kalau untuk menciptakan karya tsb,1
devin bisa 0 - 70% buat sampe ke 95%++ sulit ini untuk case yg low mid. gimana kalo bener - bener bikin custom mending buat sendiri drpd kasih ke devin. so far masih enakan ngoding sendiri di assist ai daripada full ai abis itu ngedebug buatan a,0
makanya getol ai! dipaksain masuk sekolah sekolah.. pasukan sempurna talented fresh gratisan militan..,2
garansi gpt banyak banget,0
itu bukan ai kok buat skrg ai belum bisa bikin art 2d yang sedetail itu walaupun bisa pasti bakal ada yg aneh bentuk nya mau itu dari jari atau mata,2
tidak ada tanggal pasti untuk kiamat. ilmu pengetahuan tidak memprediksi akhir dunia tetapi mengidentifikasi risiko seperti perubahan iklim perang nuklir atau ketidaksejajaran ai yang dapat diminimalkan melalui teknologi dan kerja sama globa,1
sultan selangor dah bertitah mengenai hal ini pun mb buat tatau. kalau kita perhatikan di selangor longkang monsun tidak dibersihkan seberapa lama. ada nampak pekerja ambil gambar kemudian balik. pakai ai untuk edit gambar baran,0
